courseno,classno,title,classification,instructor,credit,hour
37291,1,MICE Convergence Contents Planning,Major elective,Hwang  Hae Jin,3,3
36234,1,Sports Management and Administration,Major elective,HONG EUNAH,3,3
37964,1,Sports Policy and Diplomacy,Major elective,HONG EUNAH,3,3
36597,1,Principle in Food Preparation,Major elective,Seo Jin Chung,3,3
33831,1,Human Physiology in Nutrition,Major elective,Kwon  Oran,3,3
36599,1,Laboratory Experiments in Food and Nutrition,Major elective,,3,4.5
35472,1,Introduction to Biostatistics,Major elective,Jeonghoon Ahn,3,3
36547,1,Medical Terminology II,Major elective,Song Vogue Ahn,3,3
35475,1,Planing and Evaluation for Health,Major elective,Hyekyeong Kim,3,3
36556,1,Survey Methods for Health Sciences,Major elective,Nam Kyong Choi,3,3
35603,1,Pathophysiology,Major requisite,Kim  Kon Hee,3,3
33570,1,Nursing Informatics,Major requisite,Juh Hyun Shin,1.5,1.5
37466,1,Global Health Care Systems ,Major elective,Juh Hyun Shin,1.5,1.5
33526,1,Psychiatric Mental Health NursingⅡ,Major requisite,Suk Sun Kim/ yoon jae yeon,3,3
33526,2,Psychiatric Mental Health NursingⅡ,Major requisite,Suk Sun Kim/ yoon jae yeon,3,3
33530,1,Maternity Health Nursing Ⅱ,Major requisite,Kang Sook Jung,3,3
33530,2,Maternity Health Nursing Ⅱ,Major requisite,Kang Sook Jung,3,3
35920,1,Traditional Nursing Therapy,Major elective,Sujin Shin,1.5,1.5
38558,1,Mechanical Design and Drawing,Major elective,Lee  Jung Rok,2,3
38558,2,Mechanical Design and Drawing,Major elective,Lee  Jung Rok,2,3
38558,3,Mechanical Design and Drawing,Major elective,Lee Taeyong,2,3
38565,1,Solid Mechanics,Major elective,Lee Taeyong,3,3
38586,1,Statistical Learning Theory,Major elective,Choi  Jang Hwan,3,3
20481,2,Data Structures,Major requisite,Min Dongbo,3,3
20493,2,Computer Architecture,Major requisite,HyungJune Lee,3,3
35914,3,Java Programming and Labs,Major elective,HyungJune Lee,3,4.5
38426,1,Open Software Flatform,Major elective,Uran Oh,3,3
34300,1,Electromagnetics I,Major elective,Chang Hyeon Ji,3,3
